5-Atlantic Avenue Barclays Center,N-Atlantic Avenue Barclays Center,120000
5-Atlantic Avenue Barclays Center,R-Atlantic Avenue Barclays Center,120000
5-Baychester Avenue,5-Gun Hill Road–Seymour Avenue,1625.514403
5-Beverly Road,5-Newkirk Avenue,1625.514403
5-Borough Hall,2-Borough Hall,120000
5-Borough Hall,3-Borough Hall,120000
5-Borough Hall,4-Borough Hall,120000
5-Borough Hall,5-Nevins Street,1625.514403
5-Borough Hall,N-Court Street,120000
5-Borough Hall,R-Court Street,120000
5-Bowling Green,5-Borough Hall,1625.514403
5-Bronx Park East,5-East 180th Street,1625.514403
5-Brooklyn Bridge City Hall,4-Brooklyn Bridge City Hall,120000
5-Brooklyn Bridge City Hall,5-Fulton Street,1625.514403
5-Brooklyn Bridge City Hall,6-Brooklyn Bridge City Hall,120000
5-Brooklyn Bridge City Hall,Z-Chambers Street,120000
5-Burke Avenue,5-Allerton Avenue,1625.514403
5-Church Avenue,5-Beverly Road,1625.514403
5-Crown Heights Utica Avenue,5-Sutter Avenue Rutland Road,1625.514403
5-East 180th Street,5-West Farms Square East Tremont Avenue,1625.514403
5-Eastchester Dyre Avenue,5-Baychester Avenue,1625.514403
5-Flatbush Avenue Brooklyn College,5-Crown Heights Utica Avenue,1625.514403
5-Franklin Avenue,2-Franklin Avenue,120000
5-Franklin Avenue,3-Franklin Avenue,120000
5-Franklin Avenue,4-Franklin Avenue,120000
5-Franklin Avenue,5-President Street,1625.514403
5-Freeman Street,5-Simpson Street,1625.514403
5-Fulton Street,2-Fulton Street,120000
5-Fulton Street,3-Fulton Street,120000
5-Fulton Street,4-Fulton Street,120000
5-Fulton Street,5-Wall Street,1625.514403
5-Fulton Street,A-Fulton Street,120000
5-Fulton Street,C-Fulton Street,120000
5-Fulton Street,Z-Fulton Street,120000
5-Grand Central 42nd Street,4-Grand Central 42nd Street,120000
5-Grand Central 42nd Street,5-14th Street Union Square,1625.514403
5-Grand Central 42nd Street,6-Grand Central 42nd Street,120000
5-Grand Central 42nd Street,7-Grand Central,120000
5-Gun Hill Road Seymour Avenue,5-Pelham Parkway Espalanade,1625.514403
5-Gun Hill Road White Plains Road,5-Burke Avenue,1625.514403
5-Intervale Avenue,5-Prospect Avenue,1625.514403
5-Jackson Avenue,5-Third Avenue 149th Street,1625.514403
5-Junius Street,5-Pennsylvania Avenue,1625.514403
5-Morris Park,5-Nereid Avenue,1625.514403
5-Nereid Avenue,5-233rd Street,1625.514403
5-Nevins Street,5-Atlantic Avenue Barclays Center,1625.514403
5-Newkirk Avenue,5-Flatbush Avenue Brooklyn College,1625.514403
5-Pelham Parkway Espalanade,5-Morris Park,1625.514403
5-Pelham Parkway White Plains Road,5-Bronx Park East,1625.514403
5-Pennsylvania Avenue,5-Van Siclen Avenue,1625.514403
5-President Street,5-Sterling Street,1625.514403
5-Prospect Avenue,5-Jackson Avenue,1625.514403
5-Rockaway Avenue,5-Junius Street,1625.514403
5-Saratoga Avenue,5-Rockaway Avenue,1625.514403
5-Simpson Street,5-Intervale Avenue,1625.514403
5-Sterling Street,5-Winthrop Street,1625.514403
5-Sutter Avenue Rutland Road,5-Saratoga Avenue,1625.514403
5-Third Avenue 149th Street,5-149th Street Grand Concourse,1625.514403
5-Van Siclen Avenue,5-New Lots Avenue,1625.514403
5-Wall Street,5-Bowling Green,1625.514403
5-West Farms Square East Tremont Avenue,5-174th Street,1625.514403
5-Winthrop Street,5-Church Avenue,1625.514403
6-103rd Street,6-96th Street,2285.31856
6-110th Street,6-103rd Street,2285.31856
6-116th Street,6-110th Street,2285.31856
6-125th Street,6-116th Street,2285.31856
6-14th Street Union Square,4-14th Street Union Square,120000
6-14th Street Union Square,5-14th Street Union Square,120000
6-14th Street Union Square,6-Astor Place,2285.31856
6-14th Street Union Square,L-Union Square,120000
6-14th Street Union Square,N-14th Street Union Square,120000
6-14th Street Union Square,Q-14th Street Union Square,120000
6-14th Street Union Square,R-14th Street Union Square,120000
6-14th Street Union Square,W-14th Street Union Square,120000
6-23rd Street,6-14th Street Union Square,2285.31856
6-28th Street,6-23rd Street,2285.31856
6-33rd Street,6-28th Street,2285.31856
6-51st Street,4-51st Street,120000
6-51st Street,6-Grand Central 42nd Street,2285.31856
6-51st Street,E-Lexington Avenue 53rd Street,120000
6-51st Street,M-Lexington Avenue 53rd Street,120000
6-59th Street,4-59th Street,120000
6-59th Street,5-59th Street,120000
6-59th Street,6-51st Street,2285.31856
6-59th Street,A-59th Street Columbus Circle,120000
6-59th Street,B-59th Street Columbus Circle,120000
6-59th Street,C-59th Street Columbus Circle,120000
6-59th Street,D-59th Street Columbus Circle,120000
6-68th Street Hunter College,6-59th Street,2285.31856
6-77th Street,6-68th Street Hunter College,2285.31856
6-86th Street,6-77th Street,2285.31856
6-96th Street,6-86th Street,2285.31856
6-Astor Place,6-Bleecker Street,2285.31856
6-Bleecker Street,4-Bleecker Street,120000
6-Bleecker Street,6-Spring Street,2285.31856
6-Bleecker Street,B-Broadway Lafayette Street,120000
6-Bleecker Street,D-Broadway Lafayette Street,120000
6-Bleecker Street,F-Broadway Lafayette Street,120000
6-Bleecker Street,M-Broadway Lafayette Street,120000
6-Brook Avenue,6-Third Avenue 138th Street,2285.31856
6-Buhre Avenue,6-Middletown Road,2285.31856
6-Canal Street,4-Canal Street,120000
6-Canal Street,6-Brooklyn Bridge City Hall,2285.31856
6-Canal Street,N- (lower level – express),120000
6-Canal Street,N- (upper level – local),120000
6-Canal Street,Q- (lower level – express),120000
6-Canal Street,R- (upper level – local),120000
6-Canal Street,W- (upper level – local),120000
6-Canal Street,Z-Canal Street,120000
6-Castle Hill Avenue,6-Parkchester,2285.31856
6-Cypress Avenue,6-Brook Avenue,2285.31856
6-East 143rd Street St Mary's Street,6-Cypress Avenue,2285.31856
6-East 149th Street,6-East 143rd Street St Mary's Street,2285.31856
6-Elder Avenue,6-Whitlock Avenue,2285.31856
6-Grand Central 42nd Street,4-Grand Central 42nd Street,120000
6-Grand Central 42nd Street,5-Grand Central 42nd Street,120000
6-Grand Central 42nd Street,6-33rd Street,2285.31856
6-Grand Central 42nd Street,7-Grand Central,120000
6-Hunts Point Avenue,6-Longwood Avenue,2285.31856
6-Longwood Avenue,6-East 149th Street,2285.31856
6-Middletown Road,6-Westchester Square East Tremont Avenue,2285.31856
6-Morrison Avenue Soundview,6-Elder Avenue,2285.31856
6-Parkchester,6-St. Lawrence Avenue,2285.31856
6-Pelham Bay Park,6-Buhre Avenue,2285.31856
6-Spring Street,6-Canal Street,2285.31856
6-St. Lawrence Avenue,6-Morrison Avenue Soundview,2285.31856
6-Third Avenue 138th Street,6-125th Street,2285.31856
6-Westchester Square East Tremont Avenue,6-Zerega Avenue,2285.31856
6-Whitlock Avenue,6-Hunts Point Avenue,2285.31856
6-Zerega Avenue,6-Castle Hill Avenue,2285.31856
7-103rd Street Corona Plaza,7-Junction Boulevard,5206.61157
7-111th Street,7-103rd Street Corona Plaza,5206.61157
7-33rd Street Rawson Street,7-Queensboro Plaza,5206.61157
7-40th Street Lowery Street,7-33rd Street Rawson Street,5206.61157
7-46th Street Bliss Street,7-40th Street Lowery Street,5206.61157
7-52nd Street,7-46th Street Bliss Street,5206.61157
7-61st Street Woodside,7-52nd Street,5206.61157
7-69th Street,7-61st Street Woodside,5206.61157
7-74th Street Broadway,7-69th Street,5206.61157
7-74th Street Broadway,E-Jackson Heights Roosevelt Avenue,120000
7-74th Street Broadway,F-Jackson Heights Roosevelt Avenue,120000
7-74th Street Broadway,M-Jackson Heights Roosevelt Avenue,120000
7-74th Street Broadway,R-Jackson Heights Roosevelt Avenue,120000
7-82nd Street Jackson Heights,7-74th Street Broadway,5206.61157
7-90th Street Elmhurst Avenue,7-82nd Street Jackson Heights,5206.61157
7-Court Square,7-Hunters Point Avenue,5206.61157
7-Court Square,G-Court Square,120000
7-Court Square,G-Court Square 23rd Street,120000
7-Court Square,Z-lower level,120000
